ID,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,WRXavier,"Generally a Centerist, CAGW is a Fraud, The problem with Socialism is that eventually you run out of other peoples money, I will not be an Islamic Dhimmi.",Australia,372,389,36855,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
1,Bluecaribe2,“Just the facts mam’”,United States,519,105,15641,3,@stanza12000 @EatLiveHealthy1 @jagchat01 NO it really about our health everyone.  https://t.co/m3MexYT3QQ,[]
2,OrthodoxReflec1,Thoughts on a Life in Christian Orthodoxy,US and Canada,304,1341,11706,0,"Good. So quit trying to ram your jab down everyone’s throat and be content to sell your expensive cold pills. It is really nice you admit this finally, and we can’t wait till your reps are telling this to doctors over donuts. https://t.co/YacaLYSldG",[]
3,maureencoert,"‘Each time a woman stands up for herself, without knowing it possibly, without claiming it, she stands up for all women’~Maya Angelou ~ and be kind",Int.city of peace and justice ,1876,1214,129166,17,Pfizer CEO predicts a fourth shot might be needed in light of omicron variant https://t.co/psrh5r3esk,[]
4,nanc_eeeee,"🚫DM,’50’s Boomer,🌹HarleyMomma Dog&Cat Mom #MAGA #KAG #TRUMP #NoSharia #WalkAway #Love4Laila #VWM 😡NO MANDATES🇺🇸NO 1984 #TermLimits #AuditGOVT #DeadHead",Central Coast CA,7691,7498,188355,247,Can Pfizer and Moderna be sued for ‘false advertising’? Asking any lawyers or legal big brains to weigh in.,[]
5,FPphilosopher,Crunchy conservative chick tweeting postcards from the volcano.,United States,850,164,3173,166,"We were told Pfizer's ""vaccine"" was 95% effective. Do you know why? I'll tell you. 2 out of 22,000 people died in the control group, and 1 out of roughly the same number died in the ""vaccinated"" group. SOLELY on this basis, they claimed the jab was 100% effective. True story.",[]
6,DavidBroderDO,"Associate Dean, NYITCOM
Vice Speaker, American Osteopathic Association

𝘓𝘢𝘶𝘨𝘩𝘵𝘦𝘳 𝘪𝘴 𝘵𝘩𝘦 𝘉𝘦𝘴𝘵 𝘔𝘦𝘥𝘪𝘤𝘪𝘯𝘦","Old Westbury, NY",474,1125,4025,1,"Mixing Pfizer and Moderna vaccines gives a better immune response against COVID-19, study finds.

In college, we were warned about mixing shots.

https://t.co/Y80OvkgHGJ #FoxNews #COVID19 #coronavirus #VaccinePassport #vaccine #medtwitter #drinkresponsibly #Health #college",[]
7,Slayer9815,,,332,198,37584,1071,"Remember to always ask this question:

If you introduce vaccine mandates, who will be legally responsible if there is a (rare) side effect? The PM? Ministers? Your boss? Your doctor? 

Because it won’t be Pfizer, Moderna or AZ (they were granted immunity by your government) https://t.co/1OZFcuwRtv",[]
8,GAGirlUSofA,🇺🇸,,439,213,11260,2530,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",[]
9,Artemisapphire,"Athanasia contra mundum.

Welcome to the Money, Power & War lounge ☕⚔️  

Come in and chat geo-economics, military history, horses, Trek & kittenz",Trinovantum,3851,3233,75200,0,"@qqzm Yass! 🥰 I mean boo you're not in my Pfizer Chiefs gang, but yay for the VaxGang! ❤️",[]
10,Armziinho,"If you can see it, the data becomes secondary. Student of the game.","Islington, London",967,3683,60631,875,FDA Says It Now Needs 75 Years To Fully Release Pfizer COVID-19 Vaccine Data https://t.co/Ly0PzrthR6,[]
11,nasiruddin2018,Salam perkenalan 🇲🇾,"Trengganu, Malaysia",702,8,408,76,Pfizer-BioNTech says a booster dose of its Covid-19 vaccine appears to provide strong protection against the omicron variant. https://t.co/geOH9v8tYM,[]
12,WSjp_insight,"FYI:@WSlightly.. Website2020: UU=128k, PV=465k TYVM!
neutral RT≠endorsement; NO actual trade goods; #economy/#internationalpolitics/#publicpolicy/#cybersecurity",,379,461,99909,110,"https://t.co/RUUtYhCSm2🗺️World🌐Vol.8
56 FederalReserveBanks Pfizer,BioNTech Moderna top20counties MI,ME,MA,MT,MO,TX,WV,WY,CO,NE,ND,IA Canada UK(NI)
57 China HumanRights Europe Russia travel FinancialStability Lego,Colosseum MilkyWay Scotland county-by-county OR,AK,HI,NY,MA,MI .. https://t.co/MZn46PWFD5",[]
13,yohokyky,The Renaissance was an epoch marked by a flourishing of the arts and science. China is experiencing an unprecedented political disaster.,"Sydney,Australia",5002,796,19401,2,"Perfect day for #planespotting, no?
Taiwan took delivery of another shipment of the #Pfizer-#BioNTech #COVID19 vaccine on Thursday, numbering 1.92 million doses.
https://t.co/03W9zqA8Iy https://t.co/Lb1HdbQiKn","['planespotting', 'Pfizer', 'BioNTech', 'COVID19']"
14,FrazerGoodwin,"English born 🏴󠁧󠁢󠁥󠁮󠁧󠁿Belgian 🇧🇪 advocate for Sustainable Development in Brussels 🇪🇺-Tweets (on politics, transport, bikes, rugby & food) my own. #FBPE",My Blog:yyhb.,4389,2731,63896,0,@dasvee @rafaelbehr Had AZ the first 2 shots and Pfizer yesterday as the booster. Arm a bit sore but other than that the only reason I feel a bit tired is I just rode 71Km on the virtual world of Zwift on the indoor cycle trainer...,[]
15,Slayer9815,,,332,198,37584,637,The eight top Pfizer and Moderna shareholders made over $10 billion last week when their stock holdings skyrocketed after the discovery of the new Omicron variant. https://t.co/VFrdTfsF6T,[]
16,musa_siziba,,,155,116,3693,210,"Voetsek man asijovi!!!!!!! We didn't mandate the governemnt to be clinet of Pfizer and J&amp;J........

Bathunywe ngubani????",[]
17,babyspettri,,,957,1352,88059,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
18,darienamos2,Love about those TV and Radio is real life,"Lenasia, Johannesburg",1278,195,4963,1,"Registration open for second Pfizer dose for 12 to 17-year-olds

https://t.co/I31rzzfk85",[]
19,MakodiPehalwan,,,87,552,22004,0,@DrSatyaSaraswat @pfizer Also trying to convince people that their viagra can also cure Alzheimer.,[]
20,dgburk,"Country Boy at heart, Born in September, Loves BBQ & the PBR (Professional Bull Riders). Born and raised in Montana.
Proud American who appreciates this country","Bozeman, MT",2800,1366,31017,2164,"BREAKING REPORT: FDA Says It Now Needs 75 Years to FULLY RELEASE Pfizer COVID-19 Vaccine Data...

Worldwide Life expectancy BOTH SEXES COMBINED is 73.2 years...",[]
21,DeVethum,U need not know anything about me :),,51,13,549,17,"🚨 A5 tracklist leaked 🚨

1. Rona On Me
2. Lost a Fan
3. No Tickets Left
4. I Drink Pfizer
5. Vaccinated Like Me
6. My Little Vaccine Pass
7. Rolling In The ICU
8. Turning Hospital Beds
9. Health Is A Game

Bonus Tracks:
10. To Be Vaccinated
11. I’ll Be Waiting (for the booster)",[]
22,EivarGalindez,Mind Scientist,,100,17,2645,0,"FDA Says It Now Needs 75 Years to Fully Release Pfizer COVID-19 Vaccine Data. That timeline would take it until at least 2096. The government give Pfizer billions, mandate to take its product, prohibit from suing for harms, but refuse to let see the data underlying its licensure.",[]
23,ericboyd,"An independent critical thinker supporting free choice and much less government; Loves family, photography, gardening, barefoot jogging, Nature and beer.",Waterloo,494,541,20588,112,"The Toronto Star is a major recipient of Trudeau's media bail-out.

We know they also take grants from the Tides Foundation for their global warming coverage.

And they are getting into the gambling business.

For transparency's sake, they should disclose their Pfizer money. https://t.co/T5KFrIjEpW",[]
24,CindyBo91566798,"Wife, Mother,& Mimi! 💯% conservative! I love God,America, Family & My President Donald J Trump!🚫DM! May take me a minute or day but IFB Patriots!","Pulaski, TN",3259,2592,112881,247,Can Pfizer and Moderna be sued for ‘false advertising’? Asking any lawyers or legal big brains to weigh in.,[]
25,BevJohnst,"Would be a fully paid-up member of the leftie lynch mob. if only I liked latte.  Living on Wurundjeri land, thanks to the people of the Kulin nation",Melbourne,2895,2428,174878,0,"As World Confronts Omicron Variant, Top 8 Pfizer &amp; Moderna Investors Make $10 Billion in a Week | Democracy Now! https://t.co/beNPj7oItK",[]
26,brouckucz,"Being a footnote at best in the annals of history, but in the most powerful nation on earth, conceived in liberty & justice, is distinction enough for me.","East Coast, U.S.",357,86,5058,2309,"RETWEET if you believe in science and received the Pfizer, Moderna, or Johnson &amp; Johnson vaccine/booster because I want to follow you.",[]
27,DattusJosephine,"Conservative, Catholic, thankful to Veterans, Pro small businesses and respectful towards american constitution. Born in Ecuador. Loves to travel","Texas, USA",14,19,301,2530,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",[]
28,mywordsmarked,,,281,368,105375,247,Can Pfizer and Moderna be sued for ‘false advertising’? Asking any lawyers or legal big brains to weigh in.,[]
29,eNCA,eNCA is a 24-hour news channel focusing on news from across SA and Africa. Find us on Facebook | Instagram | YouTube | Online | #DStv403,South Africa,852,3099887,381017,1,"Registration open for second Pfizer dose for 12 to 17-year-olds

https://t.co/I31rzzfk85",[]
30,ParisSydney,Atheist- World Citizen - thoroughbred breeder - horse racing - Equestrian PR,Sydney - Paris ,412,165,4233,233,"Pfizer won’t deliver their product in countries that will not shield them from liability for injury or death.

What does this tell you ?",[]
31,DoomerVon,Just Another Random Guy at Ice Station Zebra,"Florida, USA",496,145,4614,2267,"Man, apparently Pfizer's booster has a couple of pretty unexpected side effects https://t.co/JUaRQPCeAc",[]
32,Supadope94,,,249,46,1697,2530,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",[]
33,dgburk,"Country Boy at heart, Born in September, Loves BBQ & the PBR (Professional Bull Riders). Born and raised in Montana.
Proud American who appreciates this country","Bozeman, MT",2800,1366,31017,247,Can Pfizer and Moderna be sued for ‘false advertising’? Asking any lawyers or legal big brains to weigh in.,[]
34,emmymik,"Cubs, Pirates, Steelers, and Penguins. Politics. she/her/hers","Ohio, USA",570,216,31615,2267,"Man, apparently Pfizer's booster has a couple of pretty unexpected side effects https://t.co/JUaRQPCeAc",[]
35,CorpWatch,We monitor multinational corporations for environmental and human rights abuses as well as corruption and fraud in order to support global justice and democracy,"San Francisco, USA",317,5634,12013,0,"UK signed clause bypassing domestic courts to buy PfizerCovid-19 vaccine supply. “How did we end up in a situation where a handful of drug firms were able to exert so much control over the most powerful governments in the world?.”

#pandemicprofiteers

https://t.co/IuJ5YMj0b4 https://t.co/mCPYEmlaMA",['pandemicprofiteers']
36,fergusmkpherson,22. Working Class. Freedom of speech 🙏🏻,United Kingdom,1169,354,2987,1410,How many boosters until the CEO of Pfizer can buy a 500-foot yacht and three football teams?,[]
37,New_Narrative,"Former acting SecArmy & deputy FEMA director narrative on analyzing threats, managing hazards, countering radicalization & developing leaders",On the road,7,12136,686329,0,"Omicron may require fourth vaccine dose, Pfizer says

 https://t.co/Mg6sRfEhrU",[]
38,JarosawK2,"https://t.co/pac09T5G7F Nigdy nas nie pokonacie !!!

#GreatResist",,3661,5149,57252,1,"@PBeatap @JarosawK2 Pfizer to oszuści i mordecy ! 🤬🤬Court Orders FDA To Comply With FOIA and Release Information On Pfizer Vaccine – First Batch of Documents Shows Over 1,200 Vaccine Deaths WITHIN FIRST 90 DAYS
https://t.co/8MwP2vpBe5",[]
39,MercuryReports,"AMERICA'S DIGITAL NEWS AGGREGATOR OF RECORD
🇺🇸 #America #DigitalWarriors 🇺🇸
We Follow Back All Patriots!
(Retweets Do Not Equal Endorsement!)",All Over America,9434,9318,41755,0,"75 YEARS: Nothing says “Safe and Effective” like having to wait till the year 2096 to see the data!
#FDAVaccineData 
#Pfizer #FDA 
 https://t.co/dOl2t05bNw","['FDAVaccineData', 'Pfizer', 'FDA']"
40,Peter73916739,Freedom of speech,Afghanistan Tora Bora,301,108,15558,3954,"&lt;data and the truth want to break free, and eventually will.  Best to come clean sooner. The coverup is what will git ya.&gt;

GUY HATCHARD: PFIZER DOCUMENT CONCEDES THAT THERE IS A LARGE INCREASE IN TYPES OF ADVERSE EVENT REACTION TO ITS VACCINE
https://t.co/kupDIViH41",[]
41,ConsumingIssues,Professional photographer/Photographic Artist; History of Art Lecturer; Bridge Teacher; Board Member @Together_FM Radio. Retweets not an endorsement.,"Dublin (via Cork), Ireland",708,627,14933,0,"Just had my third jab in my local pharmacy. Super service. Apparently, electronic system is not being updated yet, so the card you’re given is the only proof you’ll have of latest jab. Nothing on your phone, it seems. #COVID19 #travel #consumingissues #Pfizer #covidpassports","['COVID19', 'travel', 'consumingissues', 'Pfizer', 'covidpassports']"
42,Friendofbenelli,"I was actually named after a jackass 🌼
🇺🇸 Patriot 🇺🇸
No DMS",Dryland usa,1271,872,6662,0,"Pfizer ceo says 4th shot will be needed.
I think their pockets are full enough",[]
43,Catwalkster,No one rules if no one obeys,"Rotterdam, Nederland",1377,1367,8121,214,Here is a link to the Pfizer docs cited in the article: https://t.co/CL74kVAnBh,[]
44,Tanis42,#Persister 🌊🌊🌊 #VoteBlueNoMatterWho 💙💙💙🦋🦋🦋💙💙💙 #BidenHarrisSupporter #46 #DrJillBiden is my flotus,,13623,12416,493333,117,"How do vaccines themselves perform?

Good and bad. 

Limited data from Pfizer shows that with a 3rd dose, the vaccine will continue to do a very good job—particularly at preventing severe illness. 

Even with that third dose/booster, it appears to have some fall off from Delta.8/",[]
45,KelebogileMoad2,"A Mother, Sister, God loving and peaceful human being. Love reading and just an introvert.☕","Bloemfontein, South Africa",487,267,27193,24,"JUST IN: Teenagers between 12-17 years old are eligible for a second #COVID19 dose as of today. Teens who got there dose 42 days again, are eligible now for a second dose. It’s the same #Pfizer vaccine administered in adults. #eNCA",['COVID19']
46,williamjones75,I care about family my friends people and Canada I want to leave a better future for our children I believe in honor I dislike corruption and dishonesty,"British Columbia, Canada",3159,1209,36487,53,"Who is ready to roll the dice for the fourth time in a year?

What's the worst that can happen? 😑
https://t.co/kBAPmScO2X",[]
47,DermotMurray8,"Awake not woke. Fully conscious. Anti Vaxx. I don't trust politicians, the media, the police, the WHO, doctors or government scientists. I do trust David Icke.","Didcot, England",222,224,4545,1,"@DermotMurray8 Have a read 
https://t.co/GZ6ILSS7a0",[]
48,Catwalkster,No one rules if no one obeys,"Rotterdam, Nederland",1377,1367,8121,2485,"Tens of thousands of Serious Adverse Reactions, over 1200 dead in the first 90 days of this trial and Pfizer did everything they could to try to conceal &amp; bury this data for 55 years. Our corrupt &amp; negligent governments betrayed us must be held to account !https://t.co/lFFXGXrwtm",[]
49,TMSLL_GAB_com,,,387,31,352,0,"World Bank President David Malpass:

“Pfizer has been hesitant to go into some of the countries because of the liability problems, they don’t have a liability shield.”

Why so hesitant Pfizer? They are safe…right? https://t.co/srDIhSt7T1",[]
50,AmyMulzer,Appellate family defense attorney/ recovering academic. Mom (it's complicated). I like to write stuff. I also like TV and comics. Detroit to Brooklyn. She/ her.,"Brooklyn, NY",1897,789,6551,2267,"Man, apparently Pfizer's booster has a couple of pretty unexpected side effects https://t.co/JUaRQPCeAc",[]
51,goodbyegirl1012,"libertarian, 3:14pr. sun run fun. I identify as a 25 year old but have been married for 29 years. Wahoowa! masks are dumb! Don’t New York my Florida...","West Palm Beach, FL",371,331,47311,166,"We were told Pfizer's ""vaccine"" was 95% effective. Do you know why? I'll tell you. 2 out of 22,000 people died in the control group, and 1 out of roughly the same number died in the ""vaccinated"" group. SOLELY on this basis, they claimed the jab was 100% effective. True story.",[]
52,LRfV2Ntl9a8V3Xg,随意，淡然,,26,20,3714,4,Pfizer said Wednesday that a booster dose of its COVID-19 vaccine may protect against the new #Omicron variant even though the initial two doses appear significantly less effective. https://t.co/VibKkdAMKB,['Omicron']
53,Hatewinterlove1,"Conservative, woodworker, questioning attitude",,473,340,30605,53,"Who is ready to roll the dice for the fourth time in a year?

What's the worst that can happen? 😑
https://t.co/kBAPmScO2X",[]
54,meera029,"🕉️A Proud Sanatani 🕉️
🦋Special Needs Teacher🦋#InformedConsent  #ProHealth #ProNaturalImmunity  ⭐Neither Right/NorLeftWing⭐","Kolar, India",1617,1886,60655,22,Document released by Pfizer apparently as a result of a Freedom Of Information court order in the USA reveals a vast array of previously unknown vaccine adverse effects compiled from official sources around the world.,[]
55,MTatersalad,"Political Junkie, challenging the hoard. Music ❤️. Neocons are White Supremacist. #49rs #Patriots #lofihiphop come 4 the tweets. stay for the 🎶","Massachusetts, USA",347,449,44420,0,"@WalkerBragman Lockdowns &amp; firing people. Refusal to give up the Covid 💉 Patents. Taking massive amounts of money from Pfizer,etc. Massive censorship &amp; Demanding to fully open schools. Cuts to unemployment &amp; forced back to work. 

With policies like that. Lefts failure? Who would of thunk it?",[]
56,Julesmadworld,Hapless Brit waiting for the day Britain turns me into an illegal Alien & the French come knocking at my door to drag me by the feet & throw me back to England,"Paris, France",6059,5512,96385,9,"➡️Early data from #SouthAfrica shows that the new #Omicron variant of #Covid19 may be more contagious, but less dangerous.

BioNTech and Pfizer also announced that three doses of their vaccine💉 can neutralise the variant.

A report by France 24's @VedikaBahl⤵️ https://t.co/oFWQaTuPYT","['SouthAfrica', 'Omicron', 'Covid19']"
57,ShadowIbis,,,89,27,555,17,"A third dose of Pfizer's vaccine increased the neutralizing antibodies by a factor of 25.
https://t.co/xenRmxq5F9",[]
58,CraigbryCraig,"Snarky if possible for a guy.  Comedy account   Church of the Forgiving Eagle Atheist. No FUKKIN DMs Voted remain in 2014, Idiot says what? me ""what?"" #Indyref2","Scotland, United Kingdom",4937,3217,44206,9,"➡️Early data from #SouthAfrica shows that the new #Omicron variant of #Covid19 may be more contagious, but less dangerous.

BioNTech and Pfizer also announced that three doses of their vaccine💉 can neutralise the variant.

A report by France 24's @VedikaBahl⤵️ https://t.co/oFWQaTuPYT","['SouthAfrica', 'Omicron', 'Covid19']"
59,Cell_He_Mi,,,122,101,1970,1071,"Remember to always ask this question:

If you introduce vaccine mandates, who will be legally responsible if there is a (rare) side effect? The PM? Ministers? Your boss? Your doctor? 

Because it won’t be Pfizer, Moderna or AZ (they were granted immunity by your government) https://t.co/1OZFcuwRtv",[]
60,Centauri_1,"taco connoisseur #PUMAS 
#AMLO Politics Mèxico and USA",Aqui y allá.,1344,1526,127981,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
61,imSaiyedDaud,"Official Handle- State Organization Secretary, Intellectual Cell, AIMIM Uttar Pradesh @aimim_national | Alumni @AMUofficialPRO | Tweets r personal views.","Hardoi, India",372,824,15441,141,"- Olaf Scholz becomes Germany's new chancellor

- UK tightens coronavirus rules in England

- Pfizer announces 3rd shot effective against omicron

- India's defense chief dies in helicopter crash

- UK, Australia and Canada join diplomatic boycott of China Winter Olympics",[]
62,jafabean1,,,661,116,10380,831,"New documents revealing communications between the Morrison Government &amp; Pfizer only confirm what we already knew: the vaccine rollout will go down as one of the biggest public administration failures in history.

#auspol #transparency https://t.co/KkzWL7pJFT",[]
63,shamosamo,,K.L. Malaysia,159,41,824,0,"@DGHisham Your information is far backwards, and a lot of test and facts missing  ...other countries say it very clear that the Chinese vaccine protection is only 3 moths and should be followed by other 2 more  doses of Western vaccine like Pfizer.... I had it  already 2+2",[]
64,GoVols37872,"conservative, Striving to bring you the finest in Conservative satire and Irony. #GBO #VFL #WAAR #TCOT","Beijing, People's Republic of China",5303,4830,331086,31,"And also promises nearly 100% survival rate from common cold!

https://t.co/nATwsTVF5I",[]
65,LindaWoudstra,"Always a rebel, mostly with a cause!","Garderen, Barneveld",212,73,827,4014,"Dr Ugur Sahin CEO of BioNTech and inventor of the BIO N TECH Pfizer jab refuses to take the jab for safety reasons 

WAKE UP! https://t.co/dmmcP4lI2D",[]
66,rollinshultz,"Disabled Christian Conservative, ex Mechanical Designer and Inventor. I like to fabricate things from wood, metal, and other media.","Allentown, Pa",614,28,1445,0,"This must be stopped for election integrity.
FDA Says It Now Needs 75 Years to Fully Release Pfizer Trial Data| Facts... https://t.co/lmXzS0uqn3 via @YouTube",[]
67,FeeRedfern,In the garden,Big Country,1260,785,31295,291,Kevin Rudd is paid by an organization who is supported by Pfizer. Next time you want to promote their interests over the health of the Australian people be sure to disclose your conflict of interest Kevin. #auspol https://t.co/RHWmHm3p2G,[]
68,pixeltoofar,"Campaign & content, design, photography, UX, marketing, strategy & tech. News, politics, food/coffee, travel, left wing/progressive. he/him📱🌎🌱🌊🏄‍♂️🚲🌈🐶🧬",Melbourne/Naarm,4944,1290,13541,10,🚨Breaking: All children aged 5-11 will be able to get the Pfizer vaccine from January 10. Final approval expected tomorrow morning. PM @ScottMorrisonMP says: “This will bring great relief to so many mums and dads”💉 #7NEWS #auspol,[]
69,MichelePatti30,,,310,76,11181,1873,"Pfizer won’t deliver their product in countries that will not shield them from liability for injury or death.

What does this tell you?",[]
70,BitcoinOhly,CEO & Founder - The Orange Party #Bitcoin,"Ohio, USA",1155,233,7084,2164,"BREAKING REPORT: FDA Says It Now Needs 75 Years to FULLY RELEASE Pfizer COVID-19 Vaccine Data...

Worldwide Life expectancy BOTH SEXES COMBINED is 73.2 years...",[]
71,david89293299,🎀 Living life and making every day count,"Sydney, New South Wales",360,827,209338,0,@pfizer confident that boosters will cope with Omicron strain however I just wonder about AstraZeneca????,[]
72,ProfessorRichL,Just a man taking life one day at a time.,"Goodyear, Arizona",0,25,5166,17,"#VaccinesWork!

First official statement from @BioNTech_Group &amp; @Pfizer on likely efficacy against #Omicron: 
✅2 vaccine doses resulted in significantly lower neutralising antibodies
✅3rd dose increased the neutralising antibodies by a factor of 25!

https://t.co/fJdRwDQFvq https://t.co/5Ls3xW0cWL","['VaccinesWork', 'Omicron']"
73,DebsF319,"NHS clinical coder and expert translator of doctors’ handwriting. Veggie, animal lover, dog and cat owner. One of the 48% ‘Living well is the best revenge'",North Wales,1477,2435,189590,0,"Covid live: WHO says booster jabs ‘risk exacerbating’ vaccine inequity; Denmark to close schools, nightclubs https://t.co/BByGZeNU6K",[]
74,nikali432,"Love my family, god and country. Enjoying retirement!",,423,43,1263,1410,How many boosters until the CEO of Pfizer can buy a 500-foot yacht and three football teams?,[]
75,nicolesphn,we should take a moment and hold it and keep it frozen and know that life has a hopeful undertone SHU ‘22,she/her,566,157,2417,1,so glad my pfizer booster can help me forget john lennon https://t.co/TEaGDd4iOL,[]
76,planetkooler,,,1831,2752,157384,3,"@Kit_Yates_Maths @clarkiestar Not enough. No HEPA filters, no masks in classrooms, lots of Xmassy activities. I've had 3 Pfizer jabs but yesterday confirmed covid positive, so my pupils get cover lessons till the end of term. Mitigations would be less disruptive to education.",[]
77,bankercm2,"Love my family, my wife, and the Kentucky Wildcats!! #BBN #ilovechristmas ☃",Lexington KY,347,105,3783,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
78,eternallymisfit,the anxiousness of being heard is a continuous battle between opinions and minding your business,"Karachi, Pakistan",119,225,17129,0,@ChrysalisAurora You made me worry about my friends who got one Pfizer and one Moderna shot! Are they happy with themselves? 😨😨🤷‍♀️🤷‍♀️,[]
79,PappyGrande_,Igbo. Catholic. Gunner. Engineer,Port Harcourt,1360,1214,197328,0,This one go need like 5 Pfizer doses https://t.co/Qv7AxyTfIs,[]
80,CallMeEOnly,I believe in our extraordinary system of government. If you put party before country you're doing it wrong. My opinions are my own.,United States,718,586,33457,0,@richnuncr @VIP3R187 @pfizer Why shouldn't they make a profit? They are a for-profit corporation.  Keeping people healthy is way more profitable.,[]
81,giatokalomoy,"Withholding information is the essence of tyranny. Control of the flow of information is the tool of the dictatorship.

Bruce Coville",,437,190,9047,82,"🚨🚨🚨 Read the points: 4, 5, 11, in the 👉PFIZER-BIONTECH C19 mRNA  VACCINE❗👇

https://t.co/T8i3T2Lyo6 https://t.co/4a4nDaT2s0",[]
82,InvestorRoyalty,"Not advice. Love macro and royalty stocks. Cycles rule. Family, soccer, Leafs, food. Just sharing my thoughts on what I’m thinking / doing with my $. Pro vax.",GTA,130,19,574,0,@partlycloudy1 @medicagoinc Not mRNA based - it grows the virus in a plant that is related to the tobacco plant. Their website has some great short videos. If HC does not approve or if approval is dragged out for months and months then you can bet Pfizer and others are driving the bus at HC too,[]
83,quirkiebird,"The truth shall set you free ... but first it will piss you off. Where there is risk, there should be choice. OU Alumni ... 📷🎨🎥🌿🌹",🇬🇧 ,3968,6440,138585,1071,"Remember to always ask this question:

If you introduce vaccine mandates, who will be legally responsible if there is a (rare) side effect? The PM? Ministers? Your boss? Your doctor? 

Because it won’t be Pfizer, Moderna or AZ (they were granted immunity by your government) https://t.co/1OZFcuwRtv",[]
84,classicrider,"Rides, breaks, fixes and writes about old motorcycles; lover of Velocettes. Proud Londoner in exile and lacktoast intolerant. Bread pudding expert.","Gillingham, Dorset",146,2603,28771,0,Pfizer. Very pretty at the clinic https://t.co/27F7Pf7PRx,[]
85,breaknieuws,"The Situation in World. BREAKNEWS, politiek, countrymusic , politics ,outlaw countrymusic, DRONES, WW2, ....  Geen reactie meer op links,
ook niet meer via DM.",,1315,2019,70178,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
86,aausaf78,,Door aik gaon he,660,22,186,40,“Pfizer Says Booster Neutralized #Omicron but Variant May Elude Two Doses.” Of course it does because how else will Pfizer continue to make billions in profit? Don’t worry. They’ll find you a “cure” for every new variant they create—I mean discover.,['Omicron']
87,FranzTudor,,,91,26,438,0,@drsanjaygupta @pfizer @jaketapper Where is the independent peer reviewed data showing any of the mrna vaxs generate a t cell response? Why dont you explain to your followers the difference btwn adaptive and innate immune systems. Science has flown out the window and you are facilitating. Shame.,[]
88,Nicodemosbr,☦️,,38,19,751,4014,"Dr Ugur Sahin CEO of BioNTech and inventor of the BIO N TECH Pfizer jab refuses to take the jab for safety reasons 

WAKE UP! https://t.co/dmmcP4lI2D",[]
89,OrianeTheOne,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇫🇷 🇬🇧 “Every great cause begins as a movement, becomes a business, and eventually degenerates into a racket.” ― Eric Hoffer",,939,964,14149,3649,"💥💥MASSIVE NEWS 💥💥👇👇👇
Court rejected Pfizer’s request to keep jab info hidden for 55 years. They said no and the first 30 pages have been released!

Here’s a link to the #pfizergates 1.200 dead &amp; thousands injured in first 90 days. 

https://t.co/sNudirEaSA",[]
90,Osaaa911,Safe place here / DM me anything pharm D major Fc Barcelona/ Novak Djokovic 🎾 #SaveSheikhJarrah 🇵🇸🇵🇸,"Dubai, United Arab Emirates",2164,4040,40868,0,Anyone took or knows if we can have a  third dose from Pfizer vaccine in Dubai? #rt #help,"['rt', 'help']"
91,PoleyMagik,✨ An aspiring artist with a fascination of Sonic ✨ He/Him (don't care if you get it wrong tho) ✨Programmer✨ Wannabe Gamedev ✨,Somewhere,153,128,2387,2267,"Man, apparently Pfizer's booster has a couple of pretty unexpected side effects https://t.co/JUaRQPCeAc",[]
92,bdollabills,"""I'd like for them to say he took love, patience, generosity, kindness, laughter, concern, willingness, happiness, faith and shared it with everyone he met.""",Southern California,22,34,45679,0,"Wells initiates Pfizer at overweight, says Covid treatments are here to stay https://t.co/LM1q0k1Fp4",[]
